n,repeat,time_approx,time_bruteforce,bottleneck_approx,bottleneck_optimal,ratio
3,0,0.000034,0.000018,689.4,689.4,1.0000
3,1,0.000019,0.000009,728.53,728.53,1.0000
3,2,0.000015,0.000007,864.54,864.54,1.0000
3,3,0.000013,0.000006,676.18,676.18,1.0000
3,4,0.000011,0.000006,366.43,366.43,1.0000
3,5,0.000013,0.000007,643.16,643.16,1.0000
3,6,0.000011,0.000006,1063.76,1063.76,1.0000
3,7,0.000010,0.000005,890.99,890.99,1.0000
3,8,0.000011,0.000006,736.6,736.6,1.0000
3,9,0.000011,0.000005,933.13,933.13,1.0000
4,0,0.000032,0.000016,811.51,681.39,1.1910
4,1,0.000026,0.000013,892.19,789.99,1.1294
4,2,0.000024,0.000012,1032.04,1003.73,1.0282
4,3,0.000021,0.000012,760.58,760.58,1.0000
4,4,0.000022,0.000013,389.04,286.52,1.3578
4,5,0.000023,0.000014,786.8,702.78,1.1196
4,6,0.000021,0.000013,1119.45,1119.45,1.0000
4,7,0.000023,0.000013,856.02,856.02,1.0000
4,8,0.000021,0.000012,782.11,722.18,1.0830
4,9,0.000020,0.000012,943.73,836.44,1.1283
5,0,0.000029,0.000045,620.38,552.46,1.1229
5,1,0.000026,0.000042,758.08,758.08,1.0000
5,2,0.000026,0.000043,810.49,523.81,1.5473
5,3,0.000032,0.000042,477.75,477.75,1.0000
5,4,0.000029,0.000042,1137.36,1137.36,1.0000
5,5,0.000045,0.000044,905.36,852.07,1.0625
5,6,0.000032,0.000043,537.39,537.39,1.0000
5,7,0.000031,0.000041,821.74,560.77,1.4654
5,8,0.000031,0.000042,620.67,611.53,1.0149
5,9,0.000024,0.000042,979.11,845.63,1.1578
6,0,0.000046,0.000211,907.29,800.31,1.1337
6,1,0.000036,0.000206,600.59,600.59,1.0000
6,2,0.000039,0.000213,554.99,554.99,1.0000
6,3,0.000032,0.000209,583.55,583.55,1.0000
6,4,0.000039,0.000201,734.63,734.63,1.0000
6,5,0.000039,0.000192,582.16,573.29,1.0155
6,6,0.000033,0.000209,965.11,512.02,1.8849
6,7,0.000041,0.000192,792.45,717.26,1.1048
6,8,0.000035,0.000192,932.98,579.73,1.6093
6,9,0.000027,0.000263,551.24,551.24,1.0000
7,0,0.000071,0.001308,694.0,523.61,1.3254
7,1,0.000077,0.001346,791.41,791.41,1.0000
7,2,0.000093,0.001361,810.03,570.51,1.4198
7,3,0.000047,0.001404,599.36,473.9,1.2647
7,4,0.000065,0.001440,622.82,490.78,1.2690
7,5,0.000057,0.001328,848.64,736.02,1.1530
7,6,0.000050,0.001432,691.4,680.4,1.0162
7,7,0.000200,0.001354,597.03,488.66,1.2218
7,8,0.000097,0.001344,817.64,734.61,1.1130
7,9,0.000065,0.001348,640.08,562.17,1.1386
8,0,0.000061,0.008931,979.13,660.85,1.4816
8,1,0.000053,0.009088,736.79,572.75,1.2864
8,2,0.000067,0.006274,640.92,469.2,1.3660
8,3,0.000043,0.006408,639.07,539.15,1.1853
8,4,0.000071,0.008167,651.65,626.61,1.0400
8,5,0.000048,0.008218,562.25,547.07,1.0277
8,6,0.000064,0.008191,589.06,543.42,1.0840
8,7,0.000059,0.008375,616.87,527.67,1.1690
8,8,0.000071,0.009593,514.11,514.11,1.0000
8,9,0.000104,0.009398,528.6,518.79,1.0189
9,0,0.000087,0.061728,750.93,552.15,1.3600
9,1,0.000054,0.055279,654.38,531.69,1.2308
9,2,0.000095,0.070176,670.9,550.56,1.2186
9,3,0.000069,0.043166,694.15,570.98,1.2157
9,4,0.000049,0.044662,950.5,542.42,1.7523
9,5,0.000059,0.049586,756.89,752.05,1.0064
9,6,0.000047,0.046182,868.86,561.72,1.5468
9,7,0.000059,0.040961,601.84,503.19,1.1960
9,8,0.000050,0.035281,676.95,494.28,1.3696
9,9,0.000098,0.045869,724.38,593.41,1.2207
10,0,0.000063,0.664098,727.83,499.23,1.4579
10,1,0.000049,0.458976,771.68,714.0,1.0808
10,2,0.000093,0.550281,721.42,595.32,1.2118
10,3,0.000078,0.651383,613.59,511.7,1.1991
10,4,0.000086,0.463961,661.92,559.38,1.1833
10,5,0.000054,0.495728,539.1,497.39,1.0839
10,6,0.000049,0.457764,754.97,484.11,1.5595
10,7,0.000090,0.495956,901.52,725.77,1.2422
10,8,0.000071,0.452532,563.67,563.67,1.0000
10,9,0.000075,0.541318,504.18,496.3,1.0159
11,0,0.000086,4.655997,532.33,418.78,1.2711
11,1,0.000066,5.961599,798.05,560.89,1.4228
11,2,0.000084,6.517280,647.1,589.56,1.0976
11,3,0.000084,6.613083,536.78,357.67,1.5008
11,4,0.000071,5.679264,815.41,785.08,1.0386
11,5,0.000056,7.278353,518.3,518.3,1.0000
11,6,0.000231,9.849312,708.87,644.63,1.0997
11,7,0.000105,6.861513,696.47,394.33,1.7662
11,8,0.000102,6.626081,630.01,448.54,1.4046
11,9,0.000070,13.223678,535.14,444.41,1.2042
