n,repeat,optimal,approximation,ratio
5,0,449.23,526.09,1.1711
5,1,500.89,500.89,1.0000
5,2,471.47,492.12,1.0438
5,3,516.14,516.14,1.0000
5,4,660.38,786.23,1.1906
5,5,511.21,536.77,1.0500
5,6,939.25,939.25,1.0000
5,7,486.34,697.94,1.4351
5,8,563.91,644.26,1.1425
5,9,726.7,753.47,1.0368
10,0,529.26,546.06,1.0317
10,1,451.31,498.72,1.1050
10,2,606.56,636.16,1.0488
10,3,387.47,507.69,1.3103
10,4,789.59,849.54,1.0759
10,5,575.11,965.52,1.6788
10,6,379.77,493.04,1.2983
10,7,671.61,910.04,1.3550
10,8,545.13,738.33,1.3544
10,9,523.78,797.29,1.5222
