n,repeat,time_s,bottleneck
5,0,0.000072,526.09
5,1,0.000037,500.89
5,2,0.000026,492.12
5,3,0.000033,516.14
5,4,0.000028,786.23
5,5,0.000059,536.77
5,6,0.000039,939.25
5,7,0.000048,697.94
5,8,0.000037,644.26
5,9,0.000034,753.47
10,0,0.000092,546.06
10,1,0.000104,498.72
10,2,0.000093,636.16
10,3,0.000075,507.69
10,4,0.000078,849.54
10,5,0.000077,965.52
10,6,0.000099,493.04
10,7,0.000077,910.04
10,8,0.000075,738.33
10,9,0.000057,797.29
20,0,0.000215,425.68
20,1,0.000155,576.58
20,2,0.000210,580.32
20,3,0.000242,394.93
20,4,0.000180,568.42
20,5,0.000205,540.28
20,6,0.000184,659.83
20,7,0.000238,610.8
20,8,0.000215,588.01
20,9,0.000156,586.47
50,0,0.000588,339.96
50,1,0.001171,422.91
50,2,0.001785,351.18
50,3,0.002163,316.67
50,4,0.001630,318.14
50,5,0.001354,366.39
50,6,0.001408,375.92
50,7,0.000474,437.44
50,8,0.000494,394.16
50,9,0.000762,379.52
100,0,0.005988,267.6
100,1,0.002132,295.67
100,2,0.003533,224.54
100,3,0.005919,248.16
100,4,0.004086,267.93
100,5,0.004549,235.1
100,6,0.003763,293.37
100,7,0.005037,281.4
100,8,0.004230,244.87
100,9,0.002267,249.26
200,0,0.008909,228.48
200,1,0.014754,218.92
200,2,0.016464,170.77
200,3,0.006734,237.61
200,4,0.006709,198.39
200,5,0.009565,191.78
200,6,0.012366,220.71
200,7,0.014077,181.67
200,8,0.009610,188.49
200,9,0.006863,177.37
500,0,0.065597,143.11
500,1,0.048912,134.08
500,2,0.050157,150.75
500,3,0.083920,143.62
500,4,0.071640,147.93
500,5,0.075279,123.02
500,6,0.100812,142.62
500,7,0.090554,170.4
500,8,0.052939,127.74
500,9,0.073889,137.48
